Bus_Delay,Event_Date,Occurred_On,Informed_On,Reaction_Time,Students_Number,School_Year,School_Level,Delay_Reason,Delay_Result,Boro,Route_Number,Bus_Company,Bus_Number,Bus_Run_Type,OPT_Alerted,Schools_Notified,Parents_Notified
60,2017-03-06,07:30:00,07:41:00,0 days 00:11:00.000000000,0,2,2,4,2,7,2627,31,3800,7,0,1,1
23,2019-01-10,07:30:00,07:33:00,0 days 00:03:00.000000000,0,4,2,7,2,4,1204,11,2702,7,0,1,1
0,2016-10-07,06:35:00,06:47:00,0 days 00:12:00.000000000,0,2,2,6,1,6,1707,51,1583,1,0,1,1
15,2017-04-04,06:53:00,06:54:00,0 days 00:01:00.000000000,0,2,2,4,2,4,927,47,1279,7,1,1,1
0,2017-05-01,06:45:00,07:55:00,0 days 01:10:00.000000000,0,2,2,6,1,3,4689,30,3131,7,0,1,1
30,2016-05-26,07:45:00,07:59:00,0 days 00:14:00.000000000,10,1,2,7,2,4,623,40,4449,7,0,1,1
38,2019-03-08,07:30:00,07:31:00,0 days 00:01:00.000000000,2,4,2,4,2,1,1522,47,2661,7,1,1,1
25,2017-07-17,07:15:00,07:17:00,0 days 00:02:00.000000000,0,3,2,10,2,7,2656,55,3476,7,1,1,1
23,2018-12-12,07:00:00,07:01:00,0 days 00:01:00.000000000,4,4,2,4,2,4,1079,7,1028,1,0,1,1
30,2017-05-10,06:06:00,06:08:00,0 days 00:02:00.000000000,0,2,2,4,2,4,821,40,4395,7,0,1,1
30,2016-12-23,07:54:00,07:56:00,0 days 00:02:00.000000000,2,2,2,4,2,6,1961,40,4385,7,0,1,1
53,2018-03-27,06:38:00,06:41:00,0 days 00:03:00.000000000,0,3,2,4,2,9,3041,47,2996,7,1,1,1
0,2017-03-23,15:25:00,14:38:00,-1 days +23:13:00.000000000,0,2,2,7,1,9,3451,30,3667,9,0,1,1
7,2017-10-31,08:08:00,08:09:00,0 days 00:01:00.000000000,0,3,2,4,2,11,3811,44,2300,1,0,1,0
23,2018-10-03,07:45:00,07:48:00,0 days 00:03:00.000000000,4,4,2,4,2,9,3213,7,3538,1,0,1,1
75,2018-02-12,07:46:00,07:48:00,0 days 00:02:00.000000000,1,3,2,4,2,12,4030,35,527,7,0,1,0
20,2015-11-24,07:27:00,07:27:00,0 days 00:00:00.000000000,5,1,2,4,2,6,2224,27,707,7,0,1,1
53,2019-02-13,06:24:00,06:25:00,0 days 00:01:00.000000000,0,4,2,4,2,6,2155,27,749,7,0,1,1
20,2017-04-21,07:57:00,08:02:00,0 days 00:05:00.000000000,4,2,2,4,2,6,1903,27,1352,7,1,1,1
23,2017-10-31,06:50:00,06:59:00,0 days 00:09:00.000000000,0,3,2,7,2,3,4567,14,953,7,0,1,1
35,2017-03-23,08:05:00,08:27:00,0 days 00:22:00.000000000,9,2,2,4,2,6,2021,54,4593,7,0,1,1
23,2018-11-05,08:20:00,08:26:00,0 days 00:06:00.000000000,6,4,2,4,2,4,795,26,2327,7,0,1,1
7,2017-09-06,06:36:00,06:39:00,0 days 00:03:00.000000000,0,3,2,4,2,4,1613,21,2846,7,0,1,1
27,2016-11-14,14:15:00,14:21:00,0 days 00:06:00.000000000,0,2,2,7,2,3,4902,11,2537,9,1,1,1
17,2016-09-14,15:55:00,16:02:00,0 days 00:07:00.000000000,0,2,2,4,2,3,4998,44,1487,3,0,1,0
27,2016-02-09,06:52:00,07:06:00,0 days 00:14:00.000000000,3,1,2,4,2,6,1954,14,3075,7,1,1,1
0,2017-09-08,07:10:00,07:26:00,0 days 00:16:00.000000000,1,3,2,6,1,3,4459,20,1545,1,0,1,1
10,2017-03-22,07:46:00,07:48:00,0 days 00:02:00.000000000,19,2,2,4,2,3,4292,55,3576,7,1,1,0
75,2018-12-11,07:25:00,07:48:00,0 days 00:23:00.000000000,0,4,2,7,2,9,3269,33,3679,7,0,0,0
23,2017-11-03,13:32:00,13:34:00,0 days 00:02:00.000000000,0,3,2,6,2,1,5190,15,4300,9,1,1,1
0,2018-09-28,06:46:00,09:27:00,0 days 02:41:00.000000000,0,4,2,6,1,6,2315,27,3914,7,0,1,1
7,2017-11-21,14:30:00,15:00:00,0 days 00:30:00.000000000,0,3,2,5,2,9,3176,46,3552,1,0,0,0
20,2016-02-22,06:45:00,06:51:00,0 days 00:06:00.000000000,0,1,2,4,2,4,1020,47,3230,7,1,1,1
30,2016-04-14,07:28:00,07:29:00,0 days 00:01:00.000000000,0,1,2,4,2,9,3345,33,349,7,0,1,1
23,2019-01-28,07:40:00,07:42:00,0 days 00:02:00.000000000,6,4,2,4,2,7,2541,11,2528,7,0,1,1
38,2019-03-13,07:00:00,07:02:00,0 days 00:02:00.000000000,0,4,2,4,2,9,3435,30,2951,7,0,1,0
25,2016-09-07,08:04:00,08:05:00,0 days 00:01:00.000000000,3,2,2,4,2,6,2054,27,749,7,0,1,1
23,2018-02-01,08:24:00,08:26:00,0 days 00:02:00.000000000,9,3,1,4,2,3,123,19,2474,4,0,1,1
38,2019-03-08,13:53:00,13:54:00,0 days 00:01:00.000000000,0,4,2,4,2,6,2194,27,721,9,0,1,1
12,2016-11-21,07:48:00,07:54:00,0 days 00:06:00.000000000,0,2,2,4,2,11,3834,44,1280,1,0,1,0
23,2017-09-19,06:55:00,06:57:00,0 days 00:02:00.000000000,2,3,2,4,2,6,2486,12,3488,7,0,1,1
15,2016-02-19,06:52:00,06:54:00,0 days 00:02:00.000000000,0,1,2,4,2,3,4336,44,3547,1,0,1,0
0,2016-01-26,08:57:00,09:14:00,0 days 00:17:00.000000000,1,1,2,1,2,9,2988,16,1208,7,0,1,1
38,2018-10-29,13:36:00,13:38:00,0 days 00:02:00.000000000,4,4,2,2,2,1,5141,15,4231,9,1,1,1
25,2016-12-02,07:49:00,07:50:00,0 days 00:01:00.000000000,6,2,2,4,2,6,1885,27,647,7,0,1,1
0,2018-06-05,11:57:00,11:59:00,0 days 00:02:00.000000000,8,3,2,10,1,3,5022,29,3234,8,0,1,1
12,2017-04-19,07:50:00,07:53:00,0 days 00:03:00.000000000,5,2,2,4,2,3,4625,19,4133,7,1,1,1
0,2017-12-19,06:52:00,06:54:00,0 days 00:02:00.000000000,0,3,2,3,1,3,4793,30,2755,7,0,1,0
23,2018-10-09,08:06:00,08:08:00,0 days 00:02:00.000000000,0,4,2,4,2,6,1628,18,4605,7,1,1,1
38,2018-06-25,06:40:00,06:41:00,0 days 00:01:00.000000000,0,3,2,4,2,6,1877,27,670,7,0,1,1
7,2015-09-09,07:04:00,07:14:00,0 days 00:10:00.000000000,0,1,2,4,2,11,3754,44,2474,1,0,1,0
15,2017-02-08,13:44:00,13:45:00,0 days 00:01:00.000000000,0,2,2,5,2,3,4239,44,3542,9,0,1,0
10,2017-05-18,07:40:00,07:43:00,0 days 00:03:00.000000000,8,2,1,4,2,3,4018,15,1566,4,0,1,1
38,2018-11-09,06:33:00,06:34:00,0 days 00:01:00.000000000,0,4,2,4,2,6,2191,27,731,7,0,0,1
30,2016-10-25,13:48:00,13:54:00,0 days 00:06:00.000000000,0,2,2,3,2,3,5155,15,675,9,1,1,1
0,2017-10-19,14:43:00,14:46:00,0 days 00:03:00.000000000,0,3,2,6,1,6,2435,46,3358,3,0,0,0
25,2017-02-02,15:44:00,15:50:00,0 days 00:06:00.000000000,0,2,2,8,2,3,4963,30,2520,9,0,1,1
60,2016-01-25,07:56:00,07:58:00,0 days 00:02:00.000000000,0,1,2,9,2,11,3758,44,3965,1,0,1,0
30,2017-04-06,07:07:00,07:10:00,0 days 00:03:00.000000000,3,2,2,4,2,6,1853,27,646,7,0,1,1
10,2017-01-11,06:53:00,06:54:00,0 days 00:01:00.000000000,2,2,2,4,2,6,2420,19,4107,7,1,1,1
38,2018-01-30,06:36:00,06:37:00,0 days 00:01:00.000000000,0,3,2,4,2,6,2185,27,592,7,0,1,1
30,2017-01-26,14:05:00,14:19:00,0 days 00:14:00.000000000,0,2,2,5,2,9,3002,45,330,9,1,1,1
