Bus_Delay,Event_Date,Occurred_On,Informed_On,Reaction_Time,Students_Number,School_Year,School_Level,Delay_Reason,Delay_Result,Boro,Route_Number,Bus_Company,Bus_Number,Bus_Run_Type,OPT_Alerted,Schools_Notified,Parents_Notified
17,2015-10-07,07:35:00,07:58:00,0 days 00:23:00.000000000,3,1,2,4,2,11,755,31,151,7,0,1,0
20,2016-03-02,07:44:00,07:49:00,0 days 00:05:00.000000000,10,1,1,4,2,2,29,16,60,4,0,1,1
25,2017-05-30,13:20:00,13:21:00,0 days 00:01:00.000000000,0,2,2,5,2,3,94,23,788,8,0,1,1
23,2018-10-10,15:25:00,15:26:00,0 days 00:01:00.000000000,2,4,2,4,2,2,849,16,830,9,0,1,1
38,2018-10-31,07:51:00,07:52:00,0 days 00:01:00.000000000,12,4,2,4,2,7,592,42,638,7,1,1,1
23,2018-04-12,06:59:00,07:01:00,0 days 00:02:00.000000000,0,3,2,4,2,4,552,50,707,7,1,1,1
15,2015-12-01,07:40:00,07:46:00,0 days 00:06:00.000000000,4,1,1,4,2,2,309,12,321,4,0,1,1
23,2019-02-01,07:19:00,07:20:00,0 days 00:01:00.000000000,0,4,1,4,2,2,1,16,797,4,0,1,1
15,2016-02-25,06:40:00,06:40:00,0 days 00:00:00.000000000,0,1,2,8,2,4,458,24,155,7,0,1,1
38,2018-01-09,07:59:00,08:01:00,0 days 00:02:00.000000000,3,3,2,4,2,4,378,37,261,7,0,1,0
53,2017-10-27,05:54:00,05:55:00,0 days 00:01:00.000000000,0,3,2,6,2,10,277,42,445,7,1,1,1
17,2016-04-11,07:38:00,07:38:00,0 days 00:00:00.000000000,4,1,2,4,2,11,761,31,310,7,0,0,0
45,2015-10-13,15:00:00,15:06:00,0 days 00:06:00.000000000,3,1,2,6,2,4,382,15,382,9,1,1,1
15,2017-01-13,08:27:00,08:28:00,0 days 00:01:00.000000000,1,2,2,4,2,10,264,42,126,7,1,1,1
23,2018-04-11,07:00:00,07:35:00,0 days 00:35:00.000000000,0,3,1,8,2,3,44,23,98,4,1,1,1
23,2018-02-05,06:00:00,08:06:00,0 days 02:06:00.000000000,0,3,1,4,2,7,41,20,612,4,1,1,1
75,2018-12-10,07:07:00,07:08:00,0 days 00:01:00.000000000,2,4,1,4,2,2,34,44,472,4,0,1,1
23,2017-11-15,07:17:00,07:20:00,0 days 00:03:00.000000000,0,3,2,4,2,7,624,42,253,7,1,1,1
40,2016-11-21,08:06:00,08:08:00,0 days 00:02:00.000000000,3,2,2,4,2,4,482,36,879,7,0,1,1
53,2018-04-17,07:48:00,07:51:00,0 days 00:03:00.000000000,8,3,1,7,2,2,28,16,819,4,0,1,1
38,2018-05-03,06:34:00,06:39:00,0 days 00:05:00.000000000,0,3,2,6,2,3,94,36,893,7,0,0,0
10,2015-10-23,07:23:00,07:23:00,0 days 00:00:00.000000000,2,1,2,4,2,9,730,7,273,7,0,1,1
15,2015-09-15,08:49:00,15:06:00,0 days 06:17:00.000000000,5,1,2,4,2,11,744,31,706,7,0,0,1
38,2018-03-16,07:00:00,07:27:00,0 days 00:27:00.000000000,0,3,2,7,2,7,566,27,633,7,0,1,1
38,2018-12-04,07:21:00,07:22:00,0 days 00:01:00.000000000,0,4,2,7,2,3,105,36,563,7,1,1,0
17,2015-10-21,05:57:00,05:58:00,0 days 00:01:00.000000000,0,1,2,4,2,3,172,9,442,1,0,1,0
10,2016-12-08,06:29:00,06:32:00,0 days 00:03:00.000000000,2,2,2,4,2,3,87,36,694,7,0,1,1
30,2015-11-25,06:40:00,06:41:00,0 days 00:01:00.000000000,3,1,2,4,2,4,342,24,208,7,0,1,1
15,2016-01-14,07:10:00,07:18:00,0 days 00:08:00.000000000,3,1,2,7,2,3,151,36,915,7,0,1,1
30,2016-10-21,07:29:00,07:30:00,0 days 00:01:00.000000000,7,2,1,4,2,2,31,16,811,4,0,1,1
53,2018-05-23,07:42:00,07:44:00,0 days 00:02:00.000000000,0,3,2,4,2,3,117,35,457,1,1,1,1
38,2017-09-15,14:41:00,14:43:00,0 days 00:02:00.000000000,0,3,2,7,2,3,221,22,615,3,0,1,0
38,2018-04-17,13:53:00,13:53:00,0 days 00:00:00.000000000,0,3,2,4,2,4,452,24,193,9,0,1,1
38,2018-05-24,14:22:00,14:22:00,0 days 00:00:00.000000000,0,3,2,4,2,4,400,24,237,9,0,1,1
17,2016-11-14,07:51:00,07:53:00,0 days 00:02:00.000000000,3,2,1,1,2,2,29,16,498,4,0,1,1
30,2016-10-06,06:40:00,06:41:00,0 days 00:01:00.000000000,0,2,1,4,2,2,1,16,797,4,0,1,1
38,2018-04-26,14:23:00,14:27:00,0 days 00:04:00.000000000,0,3,2,10,2,5,530,50,560,9,1,1,0
23,2018-10-24,08:05:00,08:06:00,0 days 00:01:00.000000000,0,4,2,4,2,9,706,39,742,1,0,1,0
10,2016-01-08,07:43:00,07:58:00,0 days 00:15:00.000000000,4,1,2,4,2,4,481,33,312,7,0,1,1
23,2019-02-06,07:45:00,07:46:00,0 days 00:01:00.000000000,2,4,1,4,2,2,32,16,607,4,0,1,1
53,2019-03-14,06:27:00,06:27:00,0 days 00:00:00.000000000,0,4,2,4,2,4,411,24,92,7,0,1,1
15,2016-12-20,07:47:00,07:49:00,0 days 00:02:00.000000000,1,2,2,4,2,10,294,42,129,7,1,1,1
45,2016-03-02,06:55:00,07:10:00,0 days 00:15:00.000000000,0,1,2,7,2,3,88,36,900,7,0,0,1
30,2017-02-01,07:45:00,07:46:00,0 days 00:01:00.000000000,3,2,1,4,2,2,15,16,598,4,0,1,1
53,2018-05-16,06:01:00,06:02:00,0 days 00:01:00.000000000,0,3,2,4,2,10,256,42,383,7,1,1,1
30,2016-12-09,07:26:00,07:26:00,0 days 00:00:00.000000000,7,2,1,4,2,2,29,16,13,4,0,1,1
23,2018-11-20,08:31:00,08:32:00,0 days 00:01:00.000000000,1,4,1,4,2,2,11,16,541,4,1,1,0
30,2016-02-09,06:02:00,06:03:00,0 days 00:01:00.000000000,0,1,2,4,2,4,377,42,572,7,1,1,1
10,2015-09-16,14:35:00,14:39:00,0 days 00:04:00.000000000,0,1,2,4,2,4,474,33,315,9,0,1,1
23,2019-03-12,14:20:00,14:22:00,0 days 00:02:00.000000000,0,4,2,6,2,4,493,46,245,1,0,0,0
38,2018-12-13,06:20:00,06:36:00,0 days 00:16:00.000000000,0,4,2,4,2,10,556,23,618,7,0,0,0
53,2018-04-19,06:42:00,06:42:00,0 days 00:00:00.000000000,0,3,2,4,2,7,593,42,626,7,1,1,1
7,2017-12-21,07:10:00,07:11:00,0 days 00:01:00.000000000,3,3,1,4,2,2,52,44,440,4,0,1,0
53,2017-12-18,07:10:00,07:14:00,0 days 00:04:00.000000000,3,3,2,4,2,4,353,42,448,7,1,1,1
10,2017-03-23,07:55:00,07:56:00,0 days 00:01:00.000000000,1,2,2,4,2,4,373,7,281,7,1,1,1
30,2016-06-06,07:03:00,07:04:00,0 days 00:01:00.000000000,0,1,2,4,2,7,567,27,746,7,0,1,1
40,2017-01-20,06:21:00,06:22:00,0 days 00:01:00.000000000,0,2,2,4,2,3,86,36,895,7,0,1,1
23,2018-03-22,07:00:00,07:02:00,0 days 00:02:00.000000000,0,3,2,4,2,4,319,24,161,7,0,1,1
38,2018-04-25,06:34:00,06:35:00,0 days 00:01:00.000000000,0,3,2,4,2,4,356,24,162,7,0,1,1
23,2018-10-04,06:34:00,06:36:00,0 days 00:02:00.000000000,0,4,2,4,2,7,692,19,287,7,0,1,1
7,2018-05-25,11:43:00,11:46:00,0 days 00:03:00.000000000,7,3,1,4,2,2,549,12,403,4,0,1,1
52,2015-11-19,07:00:00,07:03:00,0 days 00:03:00.000000000,0,1,2,7,2,4,329,46,335,1,1,1,0
