Bus_Delay,Event_Date,Occurred_On,Informed_On,Reaction_Time,Students_Number,School_Year,School_Level,Delay_Reason,Delay_Result,Boro,Route_Number,Bus_Company,Bus_Number,Bus_Run_Type,OPT_Alerted,Schools_Notified,Parents_Notified
20,2015-10-27,13:45:00,13:57:00,0 days 00:12:00.000000000,0,1,2,4,2,8,4525,44,1251,10,1,1,1
20,2017-07-27,06:35:00,06:37:00,0 days 00:02:00.000000000,0,3,2,4,2,5,3362,21,6560,8,1,1,1
20,2017-03-16,14:45:00,15:02:00,0 days 00:17:00.000000000,1,2,2,4,2,5,2692,41,1444,10,0,1,0
10,2017-03-17,07:58:00,08:00:00,0 days 00:02:00.000000000,0,2,2,4,2,10,5977,43,6152,1,0,1,0
75,2018-11-19,07:45:00,07:54:00,0 days 00:09:00.000000000,9,4,2,8,2,3,753,24,4401,8,0,1,1
38,2018-10-03,15:38:00,15:39:00,0 days 00:01:00.000000000,1,4,2,4,2,2,7393,18,6384,10,0,1,1
23,2018-06-01,13:27:00,13:28:00,0 days 00:01:00.000000000,0,3,2,4,2,6,3910,26,4828,10,0,1,1
20,2016-04-05,06:44:00,06:45:00,0 days 00:01:00.000000000,0,1,2,4,2,12,6558,34,980,8,0,0,0
150,2016-01-08,14:00:00,14:09:00,0 days 00:09:00.000000000,0,1,2,1,2,5,2582,10,519,10,1,1,1
53,2018-06-25,07:54:00,07:55:00,0 days 00:01:00.000000000,7,3,2,4,2,2,7303,55,5536,8,0,1,1
17,2017-03-23,07:46:00,07:47:00,0 days 00:01:00.000000000,6,2,2,4,2,2,7352,18,6421,8,1,1,1
38,2018-09-07,07:22:00,07:24:00,0 days 00:02:00.000000000,0,4,2,4,2,10,6192,46,1571,8,1,1,1
20,2015-10-02,08:15:00,08:59:00,0 days 00:44:00.000000000,4,1,2,4,2,12,6650,34,4167,8,0,1,1
23,2019-02-27,14:00:00,14:33:00,0 days 00:33:00.000000000,0,4,2,4,2,3,2408,21,1555,10,0,1,1
20,2016-11-08,07:07:00,07:09:00,0 days 00:02:00.000000000,0,2,2,4,2,8,4510,46,4560,8,1,1,1
10,2016-09-27,07:04:00,07:06:00,0 days 00:02:00.000000000,0,2,2,4,2,10,6108,43,65,1,0,1,0
27,2016-04-21,14:10:00,14:19:00,0 days 00:09:00.000000000,0,1,2,5,2,5,3302,10,1320,10,1,0,1
15,2015-10-05,05:56:00,05:58:00,0 days 00:02:00.000000000,0,1,2,4,2,3,875,38,4995,1,1,1,1
25,2017-06-14,07:22:00,07:30:00,0 days 00:08:00.000000000,4,2,2,4,2,3,2191,8,1605,8,1,1,1
45,2017-06-02,08:49:00,08:50:00,0 days 00:01:00.000000000,4,2,2,4,2,12,6562,34,2114,8,0,1,0
40,2016-11-03,06:39:00,06:50:00,0 days 00:11:00.000000000,0,2,1,7,2,3,180,25,3562,4,1,1,1
30,2017-05-24,17:00:00,17:05:00,0 days 00:05:00.000000000,0,2,2,6,2,5,3167,21,678,8,0,1,1
150,2016-12-21,07:10:00,07:24:00,0 days 00:14:00.000000000,0,2,2,4,2,3,976,24,1416,1,0,1,1
53,2018-04-11,06:53:00,06:54:00,0 days 00:01:00.000000000,0,3,2,4,2,8,4600,46,4538,8,1,1,1
25,2017-04-28,14:13:00,14:20:00,0 days 00:07:00.000000000,0,2,2,5,2,2,7915,9,2709,3,0,1,0
30,2016-01-08,06:55:00,07:06:00,0 days 00:11:00.000000000,0,1,2,10,2,3,921,39,6949,8,0,1,1
17,2015-11-30,06:50:00,06:59:00,0 days 00:09:00.000000000,0,1,2,4,2,2,7068,19,2219,1,0,1,1
10,2015-10-26,07:04:00,07:17:00,0 days 00:13:00.000000000,1,1,2,4,2,3,2166,8,1577,8,0,1,1
38,2018-10-04,15:15:00,15:18:00,0 days 00:03:00.000000000,0,4,2,4,2,3,1429,46,4062,8,1,1,1
23,2018-03-13,06:35:00,06:47:00,0 days 00:12:00.000000000,0,3,2,6,2,5,3571,45,5605,1,0,0,0
25,2015-09-08,07:05:00,07:07:00,0 days 00:02:00.000000000,0,1,2,4,2,8,4248,30,6015,8,0,1,1
38,2019-03-20,08:03:00,08:04:00,0 days 00:01:00.000000000,6,4,1,4,2,2,490,48,701,4,0,1,1
38,2018-10-03,07:49:00,07:52:00,0 days 00:03:00.000000000,0,4,2,10,2,3,2481,46,4000,8,1,1,1
30,2016-12-19,07:11:00,07:12:00,0 days 00:01:00.000000000,2,2,1,4,2,2,35,18,6161,4,0,1,1
23,2018-02-27,07:50:00,08:03:00,0 days 00:13:00.000000000,0,3,2,4,2,3,1399,10,3304,8,0,1,1
30,2016-12-06,07:56:00,08:00:00,0 days 00:04:00.000000000,13,2,2,4,2,3,1276,39,1140,8,0,1,1
15,2017-02-13,08:48:00,08:48:00,0 days 00:00:00.000000000,3,2,2,4,2,12,6611,52,811,8,0,0,0
38,2018-10-12,08:01:00,08:02:00,0 days 00:01:00.000000000,6,4,2,4,2,11,2377,46,3995,8,1,1,1
53,2017-09-11,08:54:00,08:55:00,0 days 00:01:00.000000000,4,3,2,4,2,3,1621,46,3347,8,1,1,1
45,2017-05-23,07:00:00,07:01:00,0 days 00:01:00.000000000,0,2,2,3,2,8,4378,30,5928,8,0,0,0
38,2017-10-04,07:05:00,07:07:00,0 days 00:02:00.000000000,2,3,2,4,2,2,6840,55,7343,8,1,1,1
60,2016-04-22,15:30:00,15:35:00,0 days 00:05:00.000000000,10,1,1,8,2,3,44,40,146,4,0,0,1
38,2018-04-16,06:10:00,06:33:00,0 days 00:23:00.000000000,0,3,2,4,2,3,1215,6,1944,8,0,1,1
20,2016-09-08,08:12:00,08:13:00,0 days 00:01:00.000000000,3,2,2,4,2,3,1625,46,3956,8,1,1,1
60,2017-03-15,07:25:00,07:35:00,0 days 00:10:00.000000000,0,2,2,10,2,5,3076,13,4711,8,0,1,0
7,2018-06-05,07:15:00,07:48:00,0 days 00:33:00.000000000,10,3,1,4,2,2,548,7,2585,4,0,1,1
20,2016-04-07,07:43:00,07:45:00,0 days 00:02:00.000000000,2,1,1,4,2,2,214,18,434,4,0,1,1
23,2018-01-12,07:07:00,07:12:00,0 days 00:05:00.000000000,1,3,2,4,2,10,6174,46,2577,8,1,1,1
7,2017-10-27,13:49:00,13:54:00,0 days 00:05:00.000000000,0,3,1,6,2,2,207,18,6227,4,0,1,1
23,2018-01-29,15:00:00,15:12:00,0 days 00:12:00.000000000,0,3,2,7,2,5,2976,13,4512,10,0,1,1
30,2017-04-26,06:41:00,06:42:00,0 days 00:01:00.000000000,0,2,2,4,2,5,3749,26,1094,8,0,1,1
23,2018-05-29,07:02:00,07:12:00,0 days 00:10:00.000000000,0,3,1,6,2,2,91,18,592,4,0,1,1
53,2018-05-31,14:55:00,15:21:00,0 days 00:26:00.000000000,0,3,2,4,2,11,8253,44,5430,10,1,1,1
75,2018-12-03,07:43:00,07:44:00,0 days 00:01:00.000000000,3,4,1,4,2,2,567,48,3022,4,0,1,1
20,2015-09-30,08:26:00,08:27:00,0 days 00:01:00.000000000,5,1,2,4,2,12,6472,34,4258,8,0,1,1
15,2016-03-22,07:38:00,07:40:00,0 days 00:02:00.000000000,3,1,2,4,2,2,7052,43,5461,1,0,1,0
38,2018-12-12,13:41:00,13:42:00,0 days 00:01:00.000000000,0,4,2,4,2,5,3387,26,1079,10,0,1,1
20,2016-06-15,07:34:00,07:35:00,0 days 00:01:00.000000000,4,1,1,4,2,2,86,18,1989,4,0,1,1
38,2018-04-26,06:35:00,06:35:00,0 days 00:00:00.000000000,0,3,2,4,2,5,3811,26,960,8,0,1,1
10,2015-10-02,06:20:00,06:40:00,0 days 00:20:00.000000000,0,1,2,4,2,11,4182,1,833,8,1,1,1
38,2018-01-08,07:30:00,07:37:00,0 days 00:07:00.000000000,5,3,2,9,2,3,764,15,1932,8,0,1,1
30,2016-02-02,07:30:00,07:33:00,0 days 00:03:00.000000000,0,1,2,4,2,8,5458,29,767,8,0,1,1
23,2017-12-18,07:50:00,07:51:00,0 days 00:01:00.000000000,10,3,2,4,2,3,1383,11,1609,8,0,1,1
90,2017-05-18,17:10:00,17:29:00,0 days 00:19:00.000000000,0,2,2,7,2,3,2393,53,7183,10,0,1,1
20,2016-02-12,07:03:00,07:04:00,0 days 00:01:00.000000000,4,1,2,4,2,2,2172,8,1593,8,1,1,1
15,2016-05-12,14:09:00,14:11:00,0 days 00:02:00.000000000,0,1,2,4,2,2,6831,43,5090,10,0,1,0
7,2017-10-10,14:16:00,14:17:00,0 days 00:01:00.000000000,0,3,2,4,2,10,6314,43,4098,3,0,1,0
25,2017-04-07,07:58:00,08:00:00,0 days 00:02:00.000000000,2,2,2,4,2,2,6743,46,4654,8,1,1,1
45,2016-12-15,12:35:00,12:37:00,0 days 00:02:00.000000000,52,2,2,5,2,3,1996,4,2147,3,0,1,0
7,2018-10-11,07:08:00,07:19:00,0 days 00:11:00.000000000,0,4,2,7,2,5,2774,50,3121,1,0,1,1
23,2019-02-07,06:32:00,06:33:00,0 days 00:01:00.000000000,0,4,2,4,2,3,2224,8,1583,8,0,1,1
20,2016-10-05,06:48:00,06:50:00,0 days 00:02:00.000000000,2,2,2,4,2,2,7306,55,2037,8,1,1,1
53,2018-12-10,06:45:00,07:00:00,0 days 00:15:00.000000000,0,4,2,4,2,8,5463,29,4224,8,0,0,0
20,2016-03-30,07:07:00,07:07:00,0 days 00:00:00.000000000,6,1,2,4,2,5,2929,26,1108,8,0,1,1
30,2016-03-09,06:34:00,06:36:00,0 days 00:02:00.000000000,0,1,2,4,2,8,4792,33,657,1,0,1,0
7,2018-01-30,07:35:00,07:45:00,0 days 00:10:00.000000000,0,3,2,4,2,3,1407,10,3324,8,0,1,1
7,2018-01-18,14:22:00,14:25:00,0 days 00:03:00.000000000,0,3,2,2,2,8,4235,37,5284,8,0,1,0
38,2018-05-29,13:35:00,13:36:00,0 days 00:01:00.000000000,0,3,2,4,2,8,4636,46,750,10,1,1,1
25,2017-02-10,07:50:00,07:52:00,0 days 00:02:00.000000000,0,2,2,9,2,8,4326,30,5986,8,0,1,1
